Part,Description,Manafucturer,Datasheet,Supplier,Quantity,Price/Unit (EGP),Total Price (EGP)
Arduino Uno ,Arduino Uno Atmega328p,,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7810-Automotive-Microcontrollers-ATmega328P_Datasheet.pdf,Future Electronics,1,495,495
Jumper Wires,Male to Male + Breadboard wires,,,,,,0
Resistors,,,,,,,0
USB 2.0 Type B Cable, Arduino USB Cable,,,Future Electronics,1,45,45
Breadboard 830 Tie Point,,,,,,,0
LCD 16x2 Screen,,,,,,,0
LDR,Light Dependent Resistor,,,,,,0
Potentiometer,,,,,,,0
Buzzer,,,,,,,0
LED,,,,,,,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
